timestamp,Channel8
2025-06-14 20:00:09.536400,-77319.80262
2025-06-14 20:00:09.540400,-77439.406805
2025-06-14 20:00:09.544400,-77301.250672
2025-06-14 20:00:09.548400,-77110.880865
2025-06-14 20:00:09.552400,-77133.053795
2025-06-14 20:00:09.556400,-77304.93871
2025-06-14 20:00:09.560400,-77418.306758
2025-06-14 20:00:09.564400,-77306.570388
2025-06-14 20:00:09.568400,-77125.476554
2025-06-14 20:00:09.572400,-77149.057644
2025-06-14 20:00:09.576400,-77318.707385
2025-06-14 20:00:09.580400,-77424.632302
2025-06-14 20:00:09.584400,-77303.53055
2025-06-14 20:00:09.588400,-77123.733118
2025-06-14 20:00:09.592400,-77144.38613
2025-06-14 20:00:09.596400,-77305.83278
2025-06-14 20:00:09.600400,-77429.594389
2025-06-14 20:00:09.604400,-77302.457667
2025-06-14 20:00:09.608400,-77114.725365
2025-06-14 20:00:09.612400,-77138.462918
2025-06-14 20:00:09.616400,-77313.432373
2025-06-14 20:00:09.620400,-77420.050194
2025-06-14 20:00:09.624400,-77298.300242
2025-06-14 20:00:09.628400,-77122.771993
2025-06-14 20:00:09.632400,-77143.313246
2025-06-14 20:00:09.636400,-77311.867751
2025-06-14 20:00:09.640400,-77412.607063
2025-06-14 20:00:09.644400,-77296.377992
2025-06-14 20:00:09.648400,-77123.621359
2025-06-14 20:00:09.652400,-77153.148014
2025-06-14 20:00:09.656400,-77320.249655
2025-06-14 20:00:09.660400,-77424.721709
2025-06-14 20:00:09.664400,-77317.075708
2025-06-14 20:00:09.668400,-77136.071281
2025-06-14 20:00:09.672400,-77164.525052
2025-06-14 20:00:09.676400,-77332.029025
2025-06-14 20:00:09.680400,-77430.577866
2025-06-14 20:00:09.684400,-77311.510123
2025-06-14 20:00:09.688400,-77142.262714
2025-06-14 20:00:09.692400,-77168.078979
2025-06-14 20:00:09.696400,-77334.510068
2025-06-14 20:00:09.700400,-77432.991854
2025-06-14 20:00:09.704400,-77317.522742
2025-06-14 20:00:09.708400,-77136.250095
2025-06-14 20:00:09.712400,-77155.159671
2025-06-14 20:00:09.716400,-77326.217571
2025-06-14 20:00:09.720400,-77432.477764
2025-06-14 20:00:09.724400,-77322.551885
2025-06-14 20:00:09.728400,-77149.571735
2025-06-14 20:00:09.732400,-77163.899203
2025-06-14 20:00:09.736400,-77321.546056
2025-06-14 20:00:09.740400,-77432.880096
2025-06-14 20:00:09.744400,-77325.479963
2025-06-14 20:00:09.748400,-77147.157746
2025-06-14 20:00:09.752400,-77154.332656
2025-06-14 20:00:09.756400,-77328.184525
2025-06-14 20:00:09.760400,-77446.246439
2025-06-14 20:00:09.764400,-77335.001807
2025-06-14 20:00:09.768400,-77153.349179
2025-06-14 20:00:09.772400,-77173.264584
2025-06-14 20:00:09.776400,-77337.058167
2025-06-14 20:00:09.780400,-77425.727537
2025-06-14 20:00:09.784400,-77316.628673
2025-06-14 20:00:09.788400,-77135.624246
2025-06-14 20:00:09.792400,-77150.510508
2025-06-14 20:00:09.796400,-77321.858981
