timestamp,Channel8
2025-06-14 20:59:38.808400,-76931.508116
2025-06-14 20:59:38.812400,-77310.57135
2025-06-14 20:59:38.816400,-78729.884771
2025-06-14 20:59:38.820400,-79300.636566
2025-06-14 20:59:38.824400,-78288.527225
2025-06-14 20:59:38.828400,-77160.479386
2025-06-14 20:59:38.832400,-77507.37846
2025-06-14 20:59:38.836400,-78910.240997
2025-06-14 20:59:38.840400,-79477.64003
2025-06-14 20:59:38.844400,-78472.862062
2025-06-14 20:59:38.848400,-77323.758879
2025-06-14 20:59:38.852400,-77672.222575
2025-06-14 20:59:38.856400,-79079.398999
2025-06-14 20:59:38.860400,-79643.601733
2025-06-14 20:59:38.864400,-78654.090006
2025-06-14 20:59:38.868400,-77509.479524
2025-06-14 20:59:38.872400,-77826.896647
2025-06-14 20:59:38.876400,-79224.864152
2025-06-14 20:59:38.880400,-79781.556699
2025-06-14 20:59:38.884400,-78753.711731
2025-06-14 20:59:38.888400,-77591.599833
2025-06-14 20:59:38.892400,-77865.386351
2025-06-14 20:59:38.896400,-79231.547324
2025-06-14 20:59:38.900400,-79782.2049
2025-06-14 20:59:38.904400,-78806.730069
2025-06-14 20:59:38.908400,-77650.876659
2025-06-14 20:59:38.912400,-77906.155933
2025-06-14 20:59:38.916400,-79236.576466
2025-06-14 20:59:38.920400,-79817.922988
2025-06-14 20:59:38.924400,-78855.479223
2025-06-14 20:59:38.928400,-77693.143808
2025-06-14 20:59:38.932400,-77920.081069
2025-06-14 20:59:38.936400,-79237.336425
2025-06-14 20:59:38.940400,-79820.225217
2025-06-14 20:59:38.944400,-78874.098226
2025-06-14 20:59:38.948400,-77686.594747
2025-06-14 20:59:38.952400,-77898.422229
2025-06-14 20:59:38.956400,-79222.718385
2025-06-14 20:59:38.960400,-79824.807325
2025-06-14 20:59:38.964400,-78881.429599
2025-06-14 20:59:38.968400,-77694.931948
2025-06-14 20:59:38.972400,-77869.789644
2025-06-14 20:59:38.976400,-79172.717532
2025-06-14 20:59:38.980400,-79831.736366
2025-06-14 20:59:38.984400,-78897.947538
2025-06-14 20:59:38.988400,-77700.162256
2025-06-14 20:59:38.992400,-77876.13754
2025-06-14 20:59:38.996400,-79215.342309
2025-06-14 20:59:39.000400,-79836.363177
2025-06-14 20:59:39.004400,-78906.284738
2025-06-14 20:59:39.008400,-77693.076753
2025-06-14 20:59:39.012400,-77893.05781
2025-06-14 20:59:39.016400,-79236.397652
2025-06-14 20:59:39.020400,-79885.335849
2025-06-14 20:59:39.024400,-78928.792945
2025-06-14 20:59:39.028400,-77711.651052
2025-06-14 20:59:39.032400,-77888.274537
2025-06-14 20:59:39.036400,-79227.926341
2025-06-14 20:59:39.040400,-79884.799407
2025-06-14 20:59:39.044400,-78973.943469
2025-06-14 20:59:39.048400,-77746.877402
2025-06-14 20:59:39.052400,-77899.942148
