timestamp,Channel8
2025-06-14 20:57:24.400400,-79403.253425
2025-06-14 20:57:24.404400,-80314.84697
2025-06-14 20:57:24.408400,-79449.990922
2025-06-14 20:57:24.412400,-77978.217957
2025-06-14 20:57:24.416400,-77935.369663
2025-06-14 20:57:24.420400,-79365.769549
2025-06-14 20:57:24.424400,-80284.359191
2025-06-14 20:57:24.428400,-79442.704254
2025-06-14 20:57:24.432400,-77983.940003
2025-06-14 20:57:24.436400,-77934.743814
2025-06-14 20:57:24.440400,-79354.683084
2025-06-14 20:57:24.444400,-80286.259089
2025-06-14 20:57:24.448400,-79444.827669
2025-06-14 20:57:24.452400,-77991.539597
2025-06-14 20:57:24.456400,-77915.029575
2025-06-14 20:57:24.460400,-79356.717093
2025-06-14 20:57:24.464400,-80292.875206
2025-06-14 20:57:24.468400,-79457.031722
2025-06-14 20:57:24.472400,-78003.609539
2025-06-14 20:57:24.476400,-77956.156785
2025-06-14 20:57:24.480400,-79348.35754
2025-06-14 20:57:24.484400,-80297.725534
2025-06-14 20:57:24.488400,-79453.500146
2025-06-14 20:57:24.492400,-77993.998288
2025-06-14 20:57:24.496400,-77902.870226
2025-06-14 20:57:24.500400,-79335.505287
2025-06-14 20:57:24.504400,-80281.565223
2025-06-14 20:57:24.508400,-79451.086158
2025-06-14 20:57:24.512400,-77973.702904
2025-06-14 20:57:24.516400,-77887.112246
2025-06-14 20:57:24.520400,-79317.445078
2025-06-14 20:57:24.524400,-80274.211499
2025-06-14 20:57:24.528400,-79452.606076
2025-06-14 20:57:24.532400,-77986.71162
2025-06-14 20:57:24.536400,-77917.555322
2025-06-14 20:57:24.540400,-79329.380909
2025-06-14 20:57:24.544400,-80294.685697
2025-06-14 20:57:24.548400,-79475.114283
2025-06-14 20:57:24.552400,-78008.526922
2025-06-14 20:57:24.556400,-77907.251168
2025-06-14 20:57:24.560400,-79336.958151
2025-06-14 20:57:24.564400,-80293.031668
2025-06-14 20:57:24.568400,-79487.363039
2025-06-14 20:57:24.572400,-78013.824286
2025-06-14 20:57:24.576400,-77905.127752
2025-06-14 20:57:24.580400,-79310.180761
2025-06-14 20:57:24.584400,-80306.710935
2025-06-14 20:57:24.588400,-79493.956804
2025-06-14 20:57:24.592400,-78017.46762
2025-06-14 20:57:24.596400,-77893.907177
2025-06-14 20:57:24.600400,-79317.467429
2025-06-14 20:57:24.604400,-80291.64586
2025-06-14 20:57:24.608400,-79490.246414
2025-06-14 20:57:24.612400,-78007.968129
2025-06-14 20:57:24.616400,-77891.493188
2025-06-14 20:57:24.620400,-79303.6317
2025-06-14 20:57:24.624400,-80280.917022
2025-06-14 20:57:24.628400,-79490.045248
2025-06-14 20:57:24.632400,-78008.169294
2025-06-14 20:57:24.636400,-77888.967441
2025-06-14 20:57:24.640400,-79299.54133
2025-06-14 20:57:24.644400,-80292.517578
2025-06-14 20:57:24.648400,-79495.879054
2025-06-14 20:57:24.652400,-78022.161486
2025-06-14 20:57:24.656400,-77884.653555
