timestamp,Channel8
2025-06-14 21:01:51.780400,-78392.552244
2025-06-14 21:01:51.784400,-78466.782387
2025-06-14 21:01:51.788400,-77165.843805
2025-06-14 21:01:51.792400,-76316.544571
2025-06-14 21:01:51.796400,-77195.549273
2025-06-14 21:01:51.800400,-78638.242619
2025-06-14 21:01:51.804400,-78743.519335
2025-06-14 21:01:51.808400,-77393.809246
2025-06-14 21:01:51.812400,-76546.566373
2025-06-14 21:01:51.816400,-77399.330127
2025-06-14 21:01:51.820400,-78854.853374
2025-06-14 21:01:51.824400,-78969.249602
2025-06-14 21:01:51.828400,-77683.890186
2025-06-14 21:01:51.832400,-76890.492665
2025-06-14 21:01:51.836400,-77787.043486
2025-06-14 21:01:51.840400,-79241.203277
2025-06-14 21:01:51.844400,-79367.937668
2025-06-14 21:01:51.848400,-78074.688086
2025-06-14 21:01:51.852400,-77235.693006
2025-06-14 21:01:51.856400,-78061.03117
2025-06-14 21:01:51.860400,-79433.227114
2025-06-14 21:01:51.864400,-79513.447525
2025-06-14 21:01:51.868400,-78153.857965
2025-06-14 21:01:51.872400,-77259.028227
2025-06-14 21:01:51.876400,-78073.883423
2025-06-14 21:01:51.880400,-79396.302032
2025-06-14 21:01:51.884400,-79431.103698
2025-06-14 21:01:51.888400,-78083.517025
2025-06-14 21:01:51.892400,-77127.689377
2025-06-14 21:01:51.896400,-77883.737133
2025-06-14 21:01:51.900400,-79236.799984
2025-06-14 21:01:51.904400,-79300.569511
2025-06-14 21:01:51.908400,-77953.295762
2025-06-14 21:01:51.912400,-77045.122033
2025-06-14 21:01:51.916400,-77809.417583
2025-06-14 21:01:51.920400,-79239.213972
2025-06-14 21:01:51.924400,-79347.32936
2025-06-14 21:01:51.928400,-78010.069193
2025-06-14 21:01:51.932400,-77128.11406
2025-06-14 21:01:51.936400,-77942.924552
2025-06-14 21:01:51.940400,-79418.206742
2025-06-14 21:01:51.944400,-79522.61174
2025-06-14 21:01:51.948400,-78184.301041
2025-06-14 21:01:51.952400,-77243.627875
2025-06-14 21:01:51.956400,-78072.989353
2025-06-14 21:01:51.960400,-79535.396938
2025-06-14 21:01:51.964400,-79639.220791
2025-06-14 21:01:51.968400,-78271.383437
2025-06-14 21:01:51.972400,-77344.277781
2025-06-14 21:01:51.976400,-78145.878392
2025-06-14 21:01:51.980400,-79632.314102
2025-06-14 21:01:51.984400,-79791.056191
2025-06-14 21:01:51.988400,-78481.266318
2025-06-14 21:01:51.992400,-77595.53374
2025-06-14 21:01:51.996400,-78409.003128
2025-06-14 21:01:52.000400,-79891.661393
2025-06-14 21:01:52.004400,-80059.657104
2025-06-14 21:01:52.008400,-78758.137376
2025-06-14 21:01:52.012400,-77826.404908
2025-06-14 21:01:52.016400,-78584.553729
2025-06-14 21:01:52.020400,-80088.468503
