timestamp,Channel8
2025-06-14 21:04:09.116400,-75905.227769
2025-06-14 21:04:09.120400,-75825.320283
2025-06-14 21:04:09.124400,-77114.837124
2025-06-14 21:04:09.128400,-77997.149884
2025-06-14 21:04:09.132400,-77293.494617
2025-06-14 21:04:09.136400,-76030.978683
2025-06-14 21:04:09.140400,-76022.686186
2025-06-14 21:04:09.144400,-77398.257243
2025-06-14 21:04:09.148400,-78398.050773
2025-06-14 21:04:09.152400,-77796.162998
2025-06-14 21:04:09.156400,-76585.659574
2025-06-14 21:04:09.160400,-76600.210559
2025-06-14 21:04:09.164400,-78004.995347
2025-06-14 21:04:09.168400,-78977.273879
2025-06-14 21:04:09.172400,-78333.94597
2025-06-14 21:04:09.176400,-77044.69735
2025-06-14 21:04:09.180400,-76982.5595
2025-06-14 21:04:09.184400,-78289.153074
2025-06-14 21:04:09.188400,-79225.624111
2025-06-14 21:04:09.192400,-78514.212789
2025-06-14 21:04:09.196400,-77201.070154
2025-06-14 21:04:09.200400,-77089.311432
2025-06-14 21:04:09.204400,-78371.4969
2025-06-14 21:04:09.208400,-79244.511335
2025-06-14 21:04:09.212400,-78523.421708
2025-06-14 21:04:09.216400,-77165.419121
2025-06-14 21:04:09.220400,-77020.959797
2025-06-14 21:04:09.224400,-78269.036504
2025-06-14 21:04:09.228400,-79150.119919
2025-06-14 21:04:09.232400,-78425.252846
2025-06-14 21:04:09.236400,-77053.526289
2025-06-14 21:04:09.240400,-76935.062043
2025-06-14 21:04:09.244400,-78231.44087
2025-06-14 21:04:09.248400,-79195.382201
2025-06-14 21:04:09.252400,-78524.718109
2025-06-14 21:04:09.256400,-77201.852465
2025-06-14 21:04:09.260400,-77079.968402
2025-06-14 21:04:09.264400,-78384.058581
2025-06-14 21:04:09.268400,-79344.401281
2025-06-14 21:04:09.272400,-78701.81098
2025-06-14 21:04:09.276400,-77406.907369
2025-06-14 21:04:09.280400,-77302.88235
2025-06-14 21:04:09.284400,-78627.782002
2025-06-14 21:04:09.288400,-79638.729052
2025-06-14 21:04:09.292400,-79009.303929
2025-06-14 21:04:09.296400,-77658.632715
2025-06-14 21:04:09.300400,-77540.146117
2025-06-14 21:04:09.304400,-78888.470398
2025-06-14 21:04:09.308400,-79931.380443
